row;col;UP;ElevP50;ARMFR;ElevP90
59;32;52I212;12.2272;63.1958;25.7283
59;33;52I212;10.0376;63.836;25.3502
59;34;52I212;12.8209;64.5971;25.2416
59;35;52I212;15.856;64.634;25.155
59;36;52I212;15.8121;66.4397;25.1417
59;37;52I212;13.2446;64.6343;25.185
59;38;52I212;11.9305;62.8804;25.0621
59;39;52I212;10.3287;62.5676;25.4929
59;40;52I212;11.7321;62.658;24.8495
59;41;52I212;15.1488;65.856;25.0144
59;42;52I212;9.9871;61.0742;25.6006
59;43;52I212;12.9578;62.0961;26.0148
59;44;52I212;21.2203;71.542;25.3416
59;45;52I212;15.982;70.1906;22.3097
59;46;52I212;5.7672;64.5161;17.6965
58;10;52I212;5.1217;50.5272;25.4663
58;11;52I212;11.9567;63.0233;27.8306
58;12;52I212;16.0344;66.8252;28.3141
58;13;52I212;8.7832;60.5604;27.2309
58;14;52I212;8.5106;60.2139;27.3899
58;15;52I212;9.484;61.006;27.5009
58;16;52I212;4.654;57.2857;27.042
58;17;52I212;6.9649;59.4032;26.7535
58;18;52I212;9.4708;60.7334;26.3948
58;19;52I212;8.2573;60.3535;26.337
58;20;52I212;6.7015;58.9814;27.0272
58;21;52I212;4.8214;58.665;26.9638
58;22;52I212;12.998;62.571;26.2467
58;23;52I212;10.5172;62.1919;26.0931
58;24;52I212;13.008;64.6998;26.2227
58;25;52I212;15.3884;68.446;26.4376
58;26;52I212;12.7664;63.7388;26.4051
58;27;52I212;9.919;62.5556;26.2385
58;28;52I212;10.0428;63.6775;26.7286
58;29;52I212;17.2816;65.9631;25.9996
58;30;52I212;17.2077;66.3181;25.4626
58;31;52I212;15.2762;65.3936;25.2045
58;32;52I212;12.4534;63.9761;25.3117
58;33;52I212;8.7418;62.2675;25.5897
58;34;52I212;21.9654;68.3238;25.2864
58;35;52I212;18.7649;67.4695;25.1185
58;36;52I212;14.0037;64.7543;25.3235
58;37;52I212;17.0978;65.724;25.125
58;38;52I212;20.3804;66.3998;24.9078
58;39;52I212;15.8318;64.6083;25.1713
58;40;52I212;10.7936;63.059;25.0346
58;41;52I212;12.5773;64.0231;25.3528
58;42;52I212;5.8538;61.4138;25.7251
58;43;52I212;12.5436;62.2147;26.5302
58;44;52I212;20.5121;74.4562;22.9975
58;45;52I212;8.6291;64.2645;20.2431
58;46;52I212;5.5974;61.9779;16.1841
57;10;52I212;6.469;58.4441;26.716
57;11;52I212;11.0108;63.6236;27.7139
57;12;52I212;15.9209;66.0897;28.1557
57;13;52I212;13.2863;64.2063;27.8103
57;14;52I212;13.7334;63.6307;27.7008
57;15;52I212;9.3099;59.7987;28.051
57;16;52I212;8.4507;59.8855;27.8927
57;17;52I212;6.0952;59.3614;26.9133
57;18;52I212;5.6483;59.831;26.1124
57;19;52I212;7.6259;60.6516;26.0872
57;20;52I212;12.1631;62.4611;26.648
57;21;52I212;13.5436;63.4158;26.7046
57;22;52I212;14.8948;65.7225;26.1987
57;23;52I212;18.1382;67.7626;26.1011
57;24;52I212;19.2961;67.7687;26.1755
57;25;52I212;17.5931;68.7929;26.1593
57;26;52I212;12.7871;63.6007;25.8484
57;27;52I212;8.4119;61.981;25.608
57;28;52I212;8.7167;64.3196;26.3561
57;29;52I212;8.596;64.4068;25.9579
57;30;52I212;15.7178;66.6985;25.2811
57;31;52I212;13.2503;65.4261;25.1057
57;32;52I212;7.1029;62.5498;25.4073
57;33;52I212;6.8188;62.2525;25.2328
57;34;52I212;10.7207;62.5903;25.4488
57;35;52I212;16.2378;65.3858;25.5714
57;36;52I212;7.9739;62.3006;25.3939
57;37;52I212;6.2048;61.5297;25.2353
57;38;52I212;9.4638;63.5107;25.104
57;39;52I212;9.9912;63.4077;24.8797
57;40;52I212;12.5106;64.084;25.2313
57;41;52I212;8.8381;62.7695;25.4292
57;42;52I212;8.7909;62.2348;25.52
57;43;52I212;4.0051;58.6274;25.6202
57;44;52I212;20.9521;77.0583;22.6704
57;45;52I212;18.2782;74.0556;21.7381
57;46;52I212;8.5975;66.6463;16.7155
57;47;52I212;0.7458;56.2945;20.1435
56;10;52I212;7.7454;60.2759;27.2985
56;11;52I212;14.0885;64.3779;27.7744
56;12;52I212;12.7574;64.1697;27.9962
56;13;52I212;8.7537;61.2668;27.6746
56;14;52I212;8.4695;60.681;27.8673
56;15;52I212;8.4765;61.5162;28.4753
56;16;52I212;2.9951;57.3068;28.4564
56;17;52I212;3.7403;56.7364;27.6676
56;18;52I212;5.7762;59.2276;26.5248
